URL,제목,본문글자수(공백제외),사이트내 최대 5gram 유사도(%),가장 유사한 글,V215판정
/articles/2026-chuseok-agricultural-products-discount.html,2026 추석 농축산물 할인 총정리｜최대 40%·농할상품권 20%·온누리 30% 환급,2358,7.0,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,보강완료
/articles/2026-chuseok-highway-toll-free.html,2026 추석 고속도로 통행료 면제 총정리｜무료 기간·이용방법·귀성길 꿀팁,2100,5.6,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,보강완료
/articles/2026-chuseok-ktx-train-reservation.html,추석 KTX 기차표 예매 방법·일정·예약 꿀팁 총정리,2584,5.2,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,보강완료
/articles/2026-chuseok-onnuri-giftcard-discount.html,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,1728,7.4,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,보강완료
/articles/2026-chuseok-stay-transport-discount.html,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,1727,7.4,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,보강완료
/articles/2026-chuseok-wage-arrears-living-loan.html,2026 추석 임금체불 생계비 융자 총정리｜연 1.0%·신청방법·대지급금 꿀팁,1999,6.7,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,보강완료
/articles/2026-earned-income-tax-credit-half-year.html,2026 근로장려금 상반기 신청 총정리｜대상·신청기간·최대 115만원·지급일,1889,2.9,2026 한부모가족 지원금 신청방법·소득기준·아동양육비·신청 바로가기,기존유지
/articles/2026-single-parent-family-support.html,2026 한부모가족 지원금 신청방법·소득기준·아동양육비·신청 바로가기,3487,2.9,2026 근로장려금 상반기 신청 총정리｜대상·신청기간·최대 115만원·지급일,기존유지
/articles/car-insurance-guide.html,자동차 보험료 계산·조회·가입 방법 총정리,2393,3.7,건강보험료 미납 조회 및 납부 방법 총정리,기존유지
/articles/cashwalk-money-quiz-2026-09-04.html,캐시워크 돈버는퀴즈 오늘 정답｜9월 4일 실시간 업데이트,1691,4.2,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,보강완료
/articles/compound-interest-calculator-guide.html,복리 계산기 사용방법·복리이자 계산·72의 법칙·단리 복리 차이 총정리,2020,10.3,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,보강완료
/articles/driver-license-guide.html,운전면허증 신규 발급·갱신·재발급 방법 총정리,2069,13.1,주민등록증 신규·재발급 신청 방법 총정리,기존유지
/articles/electric-car-range-solid-state-battery-guide.html,"전기차 주행가능거리, 기본 1000km 예상",3719,1.3,전기차 보조금 언제 나올까? 조회·신청방법 한눈에,기존유지
/articles/electric-car-subsidy-check-apply-guide.html,전기차 보조금 언제 나올까? 조회·신청방법 한눈에,2882,1.9,무료 상생보험 가입대상·신청방법,기존유지
/articles/family-care-leave-support-guide.html,가족돌봄휴가·가족돌봄 지원 대상·신청방법·사용방법 총정리,3492,4.9,배우자 유산·사산휴가 신청방법·휴가기간·급여·달라진 점,기존유지
/articles/foreigner-registration-guide.html,외국인등록증 신규 발급·재발급 방법 총정리,2264,7.7,여권 사진 규격과 준비 방법 총정리,보강완료
/articles/free-mutual-insurance-guide.html,무료 상생보험 가입대상·신청방법,2268,2.3,청년미래적금 혜택 달라진점 총정리,기존유지
/articles/future-investment-value-calculator-guide.html,미래 투자가치 계산기 사용방법·수익률 계산·목표금액 도달 기간 총정리,1760,12.3,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,기존유지
/articles/health-insurance-arrears.html,건강보험료 미납 조회 및 납부 방법 총정리,2395,6.6,주민등록 등본·초본 발급 방법 총정리,보강완료
/articles/hessal-loan-general-guarantee-guide.html,햇살론 일반보증 자격·한도·금리,1837,8.8,햇살론 특례보증 자격·신청방법,보강완료
/articles/hessal-loan-special-guarantee-guide.html,햇살론 특례보증 자격·신청방법,1867,8.8,햇살론 일반보증 자격·한도·금리,보강완료
/articles/hidden-insurance-myinsurance-find-guide.html,숨은 보험금 조회방법·내보험찾아줌 조회·보험금 청구방법,3093,3.6,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,기존유지
/articles/id-card-issue.html,주민등록증 신규·재발급 신청 방법 총정리,2403,13.1,운전면허증 신규 발급·갱신·재발급 방법 총정리,기존유지
/articles/loan-interest-calculator-guide.html,대출이자 계산기 사용방법·금리·기간별 상환액·총 이자 총정리,1806,8.5,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,보강완료
/articles/national-pension-expected-payment-history-guide.html,국민연금 예상수령액 조회방법·납부내역·가입기간 확인·예상연금 조회 바로가기,3204,3.2,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,기존유지
/articles/one-hundred-million-calculator-guide.html,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,1706,12.3,미래 투자가치 계산기 사용방법·수익률 계산·목표금액 도달 기간 총정리,보강완료
/articles/passport-issue.html,여권 최초 발급·재발급 신청 방법 총정리,2233,7.1,여권 사진 규격과 준비 방법 총정리,보강완료
/articles/passport-photo-guide.html,여권 사진 규격과 준비 방법 총정리,1893,7.7,외국인등록증 신규 발급·재발급 방법 총정리,보강완료
/articles/personal-data-leak-check-guide.html,개인정보 유출 확인하는 방법,2193,5.0,휴대폰 명의도용 확인방법·가입된 통신서비스 조회·명의도용 차단방법,기존유지
/articles/phone-identity-theft-check-block-guide.html,휴대폰 명의도용 확인방법·가입된 통신서비스 조회·명의도용 차단방법,3656,5.0,개인정보 유출 확인하는 방법,기존유지
/articles/rent-special-guarantee-guide.html,전세특례보증 조건·한도·신청방법,1956,3.1,햇살론 일반보증 자격·한도·금리,기존유지
/articles/resident-copy.html,주민등록 등본·초본 발급 방법 총정리,2050,6.9,여권 최초 발급·재발급 신청 방법 총정리,보강완료
/articles/retirement-pay-calculation-guide.html,퇴직금 계산방법·퇴직금 계산기·평균임금·지급기한 총정리,2431,4.8,2026 추석 임금체불 생계비 융자 총정리｜연 1.0%·신청방법·대지급금 꿀팁,보강완료
/articles/small-business-loan-scb-changes.html,소상공인 대출 조건 변경된 기준 총정리,2240,3.7,연 4.5% 청년대출 나왔다! 최대 500만원 받는 조건,보강완료
/articles/spouse-miscarriage-stillbirth-leave-guide.html,배우자 유산·사산휴가 신청방법·휴가기간·급여·달라진 점,3446,4.9,가족돌봄휴가·가족돌봄 지원 대상·신청방법·사용방법 총정리,기존유지
/articles/vehicle-fines-penalties-lookup-payment-guide.html,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,3549,3.6,숨은 보험금 조회방법·내보험찾아줌 조회·보험금 청구방법,기존유지
/articles/youth-future-link-loan-guide.html,연 4.5% 청년대출 나왔다! 최대 500만원 받는 조건,1948,5.8,햇살론 일반보증 자격·한도·금리,보강완료
/articles/youth-future-savings-benefit-changes.html,청년미래적금 혜택 달라진점 총정리,2377,2.4,연 4.5% 청년대출 나왔다! 최대 500만원 받는 조건,기존유지
