file,title,main_text_chars_no_spaces,images,images_missing_alt_attribute,tables,tables_missing_caption,max_internal_5gram_jaccard_pct,most_similar_file
2026-chuseok-agricultural-products-discount.html,2026 추석 농축산물 할인 총정리｜최대 40%·농할상품권 20%·온누리 30% 환급,2545,8,0,1,0,4.02,2026-chuseok-onnuri-giftcard-discount.html
2026-chuseok-highway-toll-free.html,2026 추석 고속도로 통행료 면제 총정리｜무료 기간·이용방법·귀성길 꿀팁,2272,9,0,1,0,3.07,2026-chuseok-onnuri-giftcard-discount.html
2026-chuseok-ktx-train-reservation.html,추석 KTX 기차표 예매 방법·일정·예약 꿀팁 총정리,2742,8,0,2,0,2.52,2026-chuseok-highway-toll-free.html
2026-chuseok-onnuri-giftcard-discount.html,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,2148,8,0,1,0,4.42,2026-chuseok-stay-transport-discount.html
2026-chuseok-stay-transport-discount.html,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,2118,8,0,1,0,4.42,2026-chuseok-onnuri-giftcard-discount.html
2026-chuseok-wage-arrears-living-loan.html,2026 추석 임금체불 생계비 융자 총정리｜연 1.0%·신청방법·대지급금 꿀팁,2401,8,0,1,0,4.14,2026-chuseok-onnuri-giftcard-discount.html
2026-earned-income-tax-credit-half-year.html,2026 근로장려금 상반기 신청 총정리｜대상·신청기간·최대 115만원·지급일,2093,8,0,1,0,0.41,2026-chuseok-onnuri-giftcard-discount.html
2026-single-parent-family-support.html,2026 한부모가족 지원금 신청방법·소득기준·아동양육비·신청 바로가기,3600,8,0,2,0,0.25,2026-earned-income-tax-credit-half-year.html
car-insurance-guide.html,자동차 보험료 계산·조회·가입 방법 총정리,2564,8,0,0,0,1.7,resident-copy.html
cashwalk-money-quiz-2026-09-04.html,캐시워크 돈버는퀴즈 오늘 정답｜9월 4일 실시간 업데이트,2047,3,0,0,0,2.53,hessal-loan-special-guarantee-guide.html
compound-interest-calculator-guide.html,복리 계산기 사용방법·복리이자 계산·72의 법칙·단리 복리 차이 총정리,2103,8,0,1,0,3.47,one-hundred-million-calculator-guide.html
driver-license-guide.html,운전면허증 신규 발급·갱신·재발급 방법 총정리,2236,9,0,0,0,5.02,id-card-issue.html
electric-car-range-solid-state-battery-guide.html,"전기차 주행가능거리, 기본 1000km 예상",3835,3,0,2,0,0.19,electric-car-subsidy-check-apply-guide.html
electric-car-subsidy-check-apply-guide.html,전기차 보조금 언제 나올까? 조회·신청방법 한눈에,2955,3,0,0,0,0.27,hessal-loan-special-guarantee-guide.html
family-care-leave-support-guide.html,가족돌봄휴가·가족돌봄 지원 대상·신청방법·사용방법 총정리,3573,8,0,2,0,0.21,2026-chuseok-ktx-train-reservation.html
foreigner-registration-guide.html,외국인등록증 신규 발급·재발급 방법 총정리,2413,9,0,0,0,4.58,passport-photo-guide.html
free-mutual-insurance-guide.html,무료 상생보험 가입대상·신청방법,2364,3,0,1,0,0.48,youth-future-savings-benefit-changes.html
future-investment-value-calculator-guide.html,미래 투자가치 계산기 사용방법·수익률 계산·목표금액 도달 기간 총정리,1846,8,0,1,0,2.29,one-hundred-million-calculator-guide.html
health-insurance-arrears.html,건강보험료 미납 조회 및 납부 방법 총정리,2559,8,0,0,0,4.02,resident-copy.html
hessal-loan-general-guarantee-guide.html,햇살론 일반보증 자격·한도·금리,1903,3,0,0,0,3.7,hessal-loan-special-guarantee-guide.html
hessal-loan-special-guarantee-guide.html,햇살론 특례보증 자격·신청방법,1940,3,0,0,0,3.7,hessal-loan-general-guarantee-guide.html
hidden-insurance-myinsurance-find-guide.html,숨은 보험금 조회방법·내보험찾아줌 조회·보험금 청구방법,3184,8,0,2,0,0.37,phone-identity-theft-check-block-guide.html
id-card-issue.html,주민등록증 신규·재발급 신청 방법 총정리,2560,9,0,0,0,5.02,driver-license-guide.html
loan-interest-calculator-guide.html,대출이자 계산기 사용방법·금리·기간별 상환액·총 이자 총정리,1896,8,0,1,0,4.29,one-hundred-million-calculator-guide.html
national-pension-expected-payment-history-guide.html,국민연금 예상수령액 조회방법·납부내역·가입기간 확인·예상연금 조회 바로가기,3281,8,0,2,0,0.23,hidden-insurance-myinsurance-find-guide.html
one-hundred-million-calculator-guide.html,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,1801,8,0,1,0,4.29,loan-interest-calculator-guide.html
passport-issue.html,여권 최초 발급·재발급 신청 방법 총정리,2371,8,0,0,0,5.29,passport-photo-guide.html
passport-photo-guide.html,여권 사진 규격과 준비 방법 총정리,2274,9,0,0,0,5.29,passport-issue.html
personal-data-leak-check-guide.html,개인정보 유출 확인하는 방법,2252,3,0,1,0,0.29,phone-identity-theft-check-block-guide.html
phone-identity-theft-check-block-guide.html,휴대폰 명의도용 확인방법·가입된 통신서비스 조회·명의도용 차단방법,3738,8,0,2,0,0.37,hidden-insurance-myinsurance-find-guide.html
rent-special-guarantee-guide.html,전세특례보증 조건·한도·신청방법,2027,3,0,1,0,0.44,hessal-loan-special-guarantee-guide.html
resident-copy.html,주민등록 등본·초본 발급 방법 총정리,2208,8,0,0,0,4.21,foreigner-registration-guide.html
retirement-pay-calculation-guide.html,퇴직금 계산방법·퇴직금 계산기·평균임금·지급기한 총정리,2519,8,0,1,0,2.44,hessal-loan-special-guarantee-guide.html
small-business-loan-scb-changes.html,소상공인 대출 조건 변경된 기준 총정리,2431,3,0,2,0,2.4,hessal-loan-special-guarantee-guide.html
spouse-miscarriage-stillbirth-leave-guide.html,배우자 유산·사산휴가 신청방법·휴가기간·급여·달라진 점,3570,8,0,3,0,0.19,family-care-leave-support-guide.html
vehicle-fines-penalties-lookup-payment-guide.html,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,3614,8,0,2,0,0.21,hidden-insurance-myinsurance-find-guide.html
youth-future-link-loan-guide.html,연 4.5% 청년대출 나왔다! 최대 500만원 받는 조건,2037,3,0,0,0,3.16,hessal-loan-special-guarantee-guide.html
youth-future-savings-benefit-changes.html,청년미래적금 혜택 달라진점 총정리,2507,3,0,2,0,0.48,free-mutual-insurance-guide.html
