URL,제목,통합 카테고리,본문글자수(공백제외),사이트내 최대유사도(%),가장 유사한 글,판정
/articles/small-business-loan-scb-changes.html,소상공인 대출 조건 변경된 기준 총정리,금융·생활경제,1112,13.5,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,부분 보강 권장
/articles/youth-future-savings-benefit-changes.html,청년미래적금 혜택 달라진점 총정리,금융·생활경제,1742,11.0,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,유지 가능
/articles/cashwalk-money-quiz-2026-09-04.html,캐시워크 돈버는퀴즈 오늘 정답｜9월 4일 실시간 업데이트,생활·건강,675,16.7,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,전면 보강 권장
/articles/youth-future-link-loan-guide.html,연 4.5% 청년대출 나왔다! 최대 500만원 받는 조건,금융·생활경제,1142,15.4,햇살론 일반보증 자격·한도·금리,부분 보강 권장
/articles/hessal-loan-general-guarantee-guide.html,햇살론 일반보증 자격·한도·금리,금융·생활경제,1042,19.8,햇살론 특례보증 자격·신청방법,부분 보강 권장
/articles/hessal-loan-special-guarantee-guide.html,햇살론 특례보증 자격·신청방법,금융·생활경제,1113,16.4,연 4.5% 청년대출 나왔다! 최대 500만원 받는 조건,부분 보강 권장
/articles/rent-special-guarantee-guide.html,전세특례보증 조건·한도·신청방법,금융·생활경제,1442,13.9,햇살론 일반보증 자격·한도·금리,유지 가능
/articles/electric-car-range-solid-state-battery-guide.html,"전기차 주행가능거리, 기본 1000km 예상",생활·건강,2797,8.2,2026 근로장려금 상반기 신청 총정리｜대상·신청기간·최대 115만원·지급일,유지 가능
/articles/electric-car-subsidy-check-apply-guide.html,전기차 보조금 언제 나올까? 조회·신청방법 한눈에,지원금·정책,2410,9.4,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,유지 가능
/articles/free-mutual-insurance-guide.html,무료 상생보험 가입대상·신청방법,금융·생활경제,1679,13.9,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,유지 가능
